tweet_id,Number_of_Likes,retweet_count
771014301343748096,6946,1678
770787852854652928,4972,1215
770772759874076672,5226,1430
770655142660169732,7405,1787
770414278348247044,6382,2125
770293558247038976,6297,1500
770093767776997377,0,3093
770069151037685760,7675,2321
769940425801170949,31668,9682
769695466921623552,6469,1696
769335591808995329,0,7813
769212283578875904,5447,1744
768970937022709760,14496,6588
768909767477751808,0,2704
768855141948723200,4237,899
768609597686943744,4165,1217
768596291618299904,5084,1293
768554158521745409,0,5903
768473857036525572,13739,3475
768193404517830656,10963,3576
767884188863397888,4788,1397
767754930266464257,16142,5445
767500508068192258,7556,2365
767191397493538821,12394,3803
767122157629476866,10250,2889
766864461642756096,0,5691
766793450729734144,5111,1367
766714921925144576,2633,382
766693177336135680,4046,803
766423258543644672,6041,1606
766313316352462849,6851,1911
766078092750233600,0,2656
766069199026450432,4260,861
766008592277377025,3772,503
765719909049503744,7290,2169
765669560888528897,5223,1237
765395769549590528,26803,3411
765371061932261376,7117,2189
765222098633691136,11712,3425
764857477905154048,6495,1790
764259802650378240,6064,1515
763956972077010945,762,55
763837565564780549,12689,4195
763183847194451968,5423,1484
763167063695355904,0,3047
763103485927849985,7411,2312
762699858130116608,12225,3651
762471784394268675,11299,6467
762464539388485633,10363,4211
762316489655476224,4825,1131
762035686371364864,32094,15671
761976711479193600,5444,2026
761750502866649088,0,3958
761745352076779520,4299,871
761672994376806400,49803,29332
761599872357261312,4150,1197
761371037149827077,0,18200
761334018830917632,5220,1463
761292947749015552,4512,1092
761227390836215808,5350,1578
761004547850530816,11392,3501
760893934457552897,3840,986
760656994973933572,6617,1927
760641137271070720,5006,1310
760539183865880579,7606,3651
760521673607086080,4246,1394
760290219849637889,26974,11584
760252756032651264,3962,872
760190180481531904,5731,1818
760153949710192640,0,31
759943073749200896,5978,2091
759923798737051648,14744,5691
759846353224826880,6768,1990
759793422261743616,5990,1929
759557299618865152,4722,1196
759447681597108224,8533,2470
759446261539934208,1682,494
759197388317847553,6102,1959
759159934323924993,0,1162
759099523532779520,14596,4197
759047813560868866,6527,2032
758854675097526272,3569,903
758828659922702336,11276,3861
758740312047005698,5768,1620
758474966123810816,3827,1008
758467244762497024,4821,2231
758405701903519748,5230,1922
758355060040593408,3420,1084
758099635764359168,19159,10055
758041019896193024,2709,377
757741869644341248,6912,3270
757729163776290825,0,7990
757725642876129280,4560,1221
757611664640446465,4585,1114
757597904299253760,0,301
757596066325864448,4359,1067
757400162377592832,15229,6896
757393109802180609,5840,1747
757354760399941633,4537,1431
756998049151549440,6319,1999
756939218950160384,6677,2020
756651752796094464,5083,1310
756526248105566208,10452,3608
756303284449767430,3953,1100
756288534030475264,44153,17818
756275833623502848,6442,1539
755955933503782912,7356,2899
755206590534418437,16506,5394
755110668769038337,21286,11152
754874841593970688,0,7949
754856583969079297,6922,2537
754747087846248448,2595,525
754482103782404096,5316,1965
754449512966619136,3767,736
754120377874386944,7918,2365
753655901052166144,5862,2178
753420520834629632,7947,3585
753398408988139520,5780,1914
753375668877008896,7679,2336
753298634498793472,0,5725
753294487569522689,3382,1049
753039830821511168,37239,20969
753026973505581056,3928,972
752932432744185856,12667,6888
752917284578922496,6944,1586
752701944171524096,0,2885
752682090207055872,6018,1600
752660715232722944,4382,1564
752568224206688256,5524,2293
752519690950500352,7392,3449
752334515931054080,3825,1098
752309394570878976,0,16299
752173152931807232,5981,1845
751950017322246144,3063,921
751937170840121344,5206,1338
751830394383790080,5825,1954
751793661361422336,5845,2909
751598357617971201,7947,3050
751583847268179968,4408,1106
751538714308972544,5047,1267
751456908746354688,3219,1006
751251247299190784,12556,5902
751205363882532864,6340,1823
751132876104687617,5089,1297
750868782890057730,4797,1370
750719632563142656,13205,5054
